task,gender,feature,n,n_valid,mean,std,RI_lower,RI_upper,CI_lower_lo,CI_lower_hi,CI_upper_lo,CI_upper_hi
picnic,male,localJitter,391,391,0.024638054541973438,0.007129244921520676,0.01516116865937325,0.04079953509704647,0.0141764316294127,0.016047566211877598,0.03829311753924082,0.04396106530567365
picnic,male,localabsoluteJitter,391,391,0.00019996706875321813,5.896323405045672e-05,0.00010722130898097501,0.000344843505390275,9.584019114794324e-05,0.00011584289492047745,0.0003161045935371,0.00036224603115855
picnic,male,rapJitter,391,391,0.01135751514374354,0.004179773244558424,0.006127757403780275,0.021635554522728875,0.005806628808175875,0.0065158186246807755,0.0188672694805603,0.0240059202163694
picnic,male,ppq5Jitter,391,391,0.012501264065926252,0.0039537185931506355,0.00715369741790375,0.020732650963875526,0.006708280680659321,0.007681220807964175,0.019737289737490584,0.023084951535327875
picnic,male,localShimmer,391,391,0.11428286512585559,0.025747037070279918,0.07108991533317088,0.1715818295419446,0.06772952103018942,0.07767266597152815,0.1650465869264442,0.17546076540309805
picnic,male,localdbShimmer,391,391,1.1004520168965477,0.19922263753826863,0.7610675608560247,1.5364686546254072,0.7278016113321907,0.7898495599235787,1.4705689568972384,1.568069611462592
picnic,male,apq3Shimmer,391,391,0.046448125551769075,0.01407528368876275,0.023975516367135376,0.07931443841227555,0.022766947431332025,0.025967148492509574,0.0755868148306057,0.08114741498540072
picnic,male,aqpq5Shimmer,391,391,0.0644335488510321,0.018329657899886474,0.036116262276861724,0.10616807560097424,0.03278575029159545,0.038210001582915654,0.10028245464251807,0.1122193496260805
picnic,male,apq11Shimmer,391,391,0.1102418712093404,0.02803865130818016,0.06446249163288939,0.18013755547687058,0.06166314548796655,0.06972421550786388,0.16897790205893912,0.18678036832303274
picnic,male,F1_mean,391,391,760.3885808836602,99.79993065121025,597.6013789818157,1001.5988861454609,588.8546564428085,616.2475576224759,962.1376992247212,1019.7267118980382
picnic,male,F1_median,391,391,638.119220962696,132.10542864124753,437.71903567269055,954.4766481192917,424.07502292262166,467.18818960066653,927.1074034636121,1002.0110171298883
picnic,male,F2_mean,391,391,1824.0505422988142,111.39228202352098,1608.3649821304587,2067.4742646072846,1579.4129038068832,1624.6590367885087,2024.4007909613488,2082.3589706636444
picnic,male,F2_median,391,391,1816.9006659904203,133.18032241113087,1567.3631730570828,2115.7273653697844,1526.5304947724485,1606.7941252838718,2062.2080710906243,2153.1041920633797
picnic,male,F3_mean,391,391,2902.585950941174,181.24549505822452,2615.033950434449,3312.7951365726776,2579.391313685059,2654.834062319365,3236.9479215398346,3600.8145117942636
picnic,male,F3_median,391,391,2832.976871864151,171.1209981828446,2517.2370038452796,3174.8651714038615,2507.6052533688194,2542.0835958167527,3144.727491584435,3208.55141808752
picnic,male,F4_mean,391,391,3940.0294601639607,157.94254486035882,3654.68115238849,4236.965734802514,3587.6804005461668,3697.822732818186,4217.415056354913,4261.638438922238
picnic,male,F4_median,391,391,3924.486051787691,193.83140135274903,3522.759806968066,4256.430323817802,3451.0864402581738,3608.146707792284,4223.582169736782,4307.869563713142
picnic,male,speech_rate,391,391,2.250715527949804,0.36517608318331246,1.451560442123363,2.8258801857405276,1.3469827586206895,1.5324519230769231,2.791308198380567,2.962360594795539
picnic,male,articulation_rate,391,391,3.499799331939526,0.015133212528617268,3.4698705980815583,3.5316272942983393,3.466553318387152,3.473583364168983,3.526970954356905,3.5342143236880714
picnic,male,avg_syllable_duration,391,391,0.28573600872023025,0.0012352291196400175,0.2831555944055893,0.2881951871657709,0.28294832826747207,0.2835294117647011,0.28788714574898283,0.2884709821428522
picnic,male,mean_pause_duration,391,391,0.28349786130247606,0.13362752129214825,0.10731226053639825,0.6255273809523807,0.0928559670781896,0.1170804597701148,0.5476311472505668,0.712488888888889
picnic,male,mean_speech_duration,391,391,0.5274640887799007,0.24031685734694655,0.22141362720966665,1.043704954954955,0.20436103723404242,0.23390761943247118,0.9142546583850935,1.1268336162988113
picnic,male,silence_rate,391,391,0.3569134352468832,0.10430497426222407,0.1912034283554918,0.5838791713457769,0.1565985130111336,0.2026189271253899,0.5586922842782284,0.6124538177339834
picnic,male,silence_to_speech_ratio,391,391,1.0230986599562129,0.014169934399748733,1.0060883222468588,1.0635416666666666,1.0056401320616288,1.0073632356753954,1.0555555555555556,1.0666666666666669
picnic,male,mean_silence_count,391,391,1.3994871469245596,0.46722734946920275,0.6959952713755466,2.5331684295813384,0.6446969005470453,0.7696727217952058,2.360764519056261,2.762981494058992
picnic,female,meanF0,394,394,194.44393591174418,27.138886956953552,145.23292954183324,247.45477910092362,139.98000014396135,150.731583670286,241.3281638230688,251.45273473147475
picnic,female,stdevF0,394,394,53.021710375160026,16.154731381791965,28.17427318216736,94.27899854737412,26.46506613123591,30.6994947896647,85.84495306691423,99.91892923199197
picnic,female,HNR,394,394,13.110437075406798,2.7960443630325043,7.43122308162066,18.967217903443917,6.356251598448709,8.62406073547947,18.139710631460783,19.445453966159953
picnic,female,localJitter,394,394,0.01871176650973851,0.004193186543114508,0.011978927867366297,0.02758156601059651,0.011587472773264156,0.012246647453087353,0.0271138781044672,0.030369256947356923
picnic,female,localabsoluteJitter,394,394,9.95854482842058e-05,3.110039401796563e-05,5.43886799932422e-05,0.00017611743686091753,5.2156760490108096e-05,5.7956624847403317e-05,0.00015943261553658501,0.0001854433309387702
picnic,female,rapJitter,394,394,0.00890081418634212,0.0023038943235566163,0.005200620494857843,0.013842594051673854,0.004764466419081935,0.005506162302302638,0.013419589142281233,0.01472836687833026
picnic,female,ppq5Jitter,394,394,0.009302916838265613,0.0023029585305785836,0.005582207780701823,0.01428954766116997,0.005281081208346291,0.00600020894079103,0.013866704490203703,0.015025193533109738
picnic,female,localShimmer,394,394,0.0878284348366432,0.019481194120031516,0.05709542640014251,0.13291658974048914,0.055572092115454406,0.05988937908204825,0.12502935331423637,0.14591425155469875
picnic,female,localdbShimmer,394,394,0.9012949350361706,0.16531640213119006,0.6230540197774913,1.3112416521458377,0.6093477652737378,0.6433024541953498,1.2331239671874965,1.3444284679440153
picnic,female,apq3Shimmer,394,394,0.03569873952116689,0.01080798770407122,0.01992906720125141,0.06049390696766988,0.019172859199845373,0.020668415022945977,0.0559976822255446,0.06700112568259975
picnic,female,aqpq5Shimmer,394,394,0.04732800237915564,0.0138588897095906,0.0268946480937384,0.07971356277205971,0.02580103914037292,0.02817744797852044,0.07492866902931192,0.08494084544645364
picnic,female,apq11Shimmer,394,394,0.07991421088836322,0.02195976143655528,0.04709068827355257,0.1331229606461982,0.046000287828732,0.04983824911367198,0.1272590775004357,0.14148482114518776
picnic,female,F1_mean,394,394,765.9346888490016,90.0887141967645,606.71180096953,970.5081084168588,587.0210513656633,621.5268026207956,937.1067463109611,1019.5726350127862
picnic,female,F1_median,394,394,660.0852428343779,108.51596651788519,494.41625110954635,939.1039093478839,476.4585572881429,515.9408804902702,893.8308681865375,974.3726508431246
picnic,female,F2_mean,394,394,1882.7515600578515,129.66278904424024,1644.7624708532826,2125.405241929628,1585.796037337386,1672.2661888026387,2069.7119402177614,2162.67907044857
picnic,female,F2_median,394,394,1892.5639829203506,150.0612454067571,1593.0111646424325,2186.1620800734836,1542.3460795783153,1638.366791985904,2126.8233310391483,2247.455648265801
picnic,female,F3_mean,394,394,2956.566788257153,192.10993352447656,2615.9090695553846,3446.3421878929726,2481.356024789879,2690.870483534053,3334.4249213782896,3553.6680534060083
