feature,mean,std,median,q25,q75,iqr,lower_95_bound,upper_95_bound,n_valid
f0_mean,167.1512378524521,33.545199386424,167.21181583145326,141.58067716794338,189.94099594682848,48.3603187788851,101.40264705506107,232.89982864984316,968
f0_std,53.04467044160798,19.79033462961341,49.8518752132815,41.6497261262646,62.69597302546279,21.046246899198188,14.255614567565694,91.83372631565027,968
f0_min,82.20961261598305,21.261123789366493,75.4851388054339,75.04269449723003,77.93920730612079,2.896512808890762,40.53780998882472,123.88141524314138,968
f0_max,449.2840842673179,66.14046307290057,482.5455942843869,406.4019922223628,495.99460573846295,89.59261351610013,319.6487766444328,578.919391890203,968
hnr,13.051187733151782,3.9596477055005854,13.634424188366697,11.450502899645487,15.488489622629473,4.037986722983986,5.290278230370634,20.812097235932928,968
jitter_local,0.019126669614312544,0.006794033646131919,0.018947193602999034,0.014965358078020177,0.023165562561598522,0.008200204483578345,0.005810363667893982,0.032442975560731106,968
jitter_absolute,0.00012377955577249004,5.933835224782741e-05,0.00011532261290765058,8.305173390985364e-05,0.00015521976550262467,7.216803159277103e-05,7.476385366748313e-06,0.00024008272617823177,968
jitter_rap,0.008977430398469906,0.003581322460387419,0.008781341436482662,0.006741038489650088,0.010647535629059193,0.003906497139409105,0.001958038376110565,0.015996822420829247,968
jitter_ppq5,0.009571049636467118,0.00377546773483372,0.009407020796666749,0.007407442251607588,0.011167447732758276,0.003760005481150688,0.002171132876193027,0.01697096639674121,968
shimmer_local,0.08877051301641091,0.017526169827069095,0.08753790180131273,0.07739946913500248,0.09882244585918198,0.021422976724179504,0.05441922015535548,0.12312180587746634,968
shimmer_apq3,0.03670604883562474,0.009473143520315091,0.03590519499265513,0.02997441757563897,0.040969672186290086,0.010995254610651116,0.018138687535807163,0.05527341013544232,968
shimmer_apq5,0.050810682750930355,0.014925079677928629,0.0489255964444445,0.04095098674901045,0.0584960767638425,0.017545090014832045,0.021557526582190244,0.08006383891967046,968
shimmer_apq11,0.0880727674319692,0.024602406767023365,0.08481847422483016,0.07175960824522087,0.10059789085809553,0.02883828261287466,0.03985205016860341,0.136293484695335,960
f1_mean,727.7524165306413,101.22546461172782,713.3880500593905,651.7689358042144,788.4344803298817,136.66554452566731,529.3505058916548,926.1543271696278,968
f2_mean,1828.2238431195822,117.40969887764247,1821.266336135523,1734.430689954654,1911.0663238170691,176.63563386241503,1598.100833319403,2058.346852919761,968
f3_mean,2951.8420345931168,125.84866059815857,2946.5883546147934,2857.5399806629457,3037.7027054488763,180.16272478593055,2705.178659820726,3198.5054093655076,968
f4_mean,4107.803485708178,103.74356031486067,4110.892501072194,4041.7907490436965,4177.649967795364,135.85921875166787,3904.4661074910514,4311.140863925305,968
recording_duration,62.90643550533161,24.00293462993501,58.51184807256236,45.89312925170068,77.00138321995465,31.10825396825397,15.86068363065899,109.95218738000423,968
speaking_duration,23.793424195573547,16.713160468064174,20.18382653061225,13.258666666666667,32.01066666666669,18.75200000000002,-8.964370321832238,56.551218712979335,968
n_pauses,34.16528925619835,17.945728643468144,30.5,23.0,42.0,19.0,-1.0083388849992119,69.3389173973959,968
mean_pause_duration,1.8399560236967107,3.3501452065902786,1.0646571416112232,0.7754074074074077,1.384365263222406,0.6089578558149983,-4.726328581220235,8.406240628613658,968
max_pause_duration,9.250564063641987,10.552533485373187,6.181333333333338,3.850666666666669,9.695999999999998,5.845333333333329,-11.432401567689459,29.93352969497343,968
total_pause_time,39.113011309758065,19.474197366672296,35.175759637188214,25.763102040816342,48.85385260770972,23.090750566893377,0.9435844710803636,77.28243814843577,968
silence_ratio,0.6213414879178359,0.18963215465192554,0.6086243990468603,0.4733384671514168,0.7665382369225403,0.2931997697711235,0.24966246480006188,0.9930205110356101,968
speech_rate,0.3095313643530815,0.14931830549792263,0.31532642304323844,0.20354454775112638,0.41734057756489035,0.21379602981376397,0.01686748557715312,0.6021952431290098,968
articulation_rate,0.8543452130809048,0.23775834542807162,0.8166068231210359,0.7535730803688383,0.897754340283227,0.14418125991438868,0.38833885604188445,1.320351570119925,968
phonation_time_ratio,0.378658512082164,0.18963215465192554,0.3913756009531396,0.23346176307745975,0.5266615328485832,0.29319976977112344,0.006979488964389935,0.7503375351999381,968
